"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YMR244W",10.981884722986,-0.894546817860547,0.535540379589657,0.0500543504099234,0.0806794350452808
"YMR245W",29.293656932451,-0.145619089160161,0.324887775347135,0.634498482214446,0.703504797067002
"YMR246W",183.589162627147,-3.01485563691332,0.319131744337928,5.9906820149627e-23,1.55838324523761e-21
"YMR247C",213.834845804741,-1.77295417109902,0.233885266196297,5.38780007273969e-15,6.47093752007515e-14
"YMR250W",258.53355230212,0.462831077165657,0.185794569007713,0.0110550604410554,0.021200134088781
"YMR251W",15.9848182227222,-0.956137434870531,0.499660527701352,0.0277180298836243,0.0479833755162353
"YMR251W-A",5901.88557346436,2.86637435666729,0.287017139454966,4.40251601352867e-25,1.35126959759153e-23
"YMR252C",46.6066383043718,0.199793440671403,0.29363327282994,0.475206987594758,0.555557383119143
"YMR253C",109.797421906588,0.466081526988537,0.217176645513729,0.0274600937730416,0.0475794516061573
"YMR255W",153.785894403603,1.78191758699943,0.310235936491923,1.39761103620719e-09,8.78390208129785e-09
"YMR256C",986.798066412249,2.67720347433034,0.289444161715634,8.37083136197449e-22,1.99013084962352e-20
"YMR257C",118.513182186551,-0.75294464390401,0.214090760464722,0.000301352704382012,0.0008188042333115
"YMR258C",40.270405364063,-0.182051973986347,0.288606756330087,0.508706722049579,0.588056753934555
"YMR259C",98.2584450247759,-1.18956248824826,0.267668336684559,3.46700982105331e-06,1.36817169877076e-05
"YMR260C",166.080748490229,1.19773537969687,0.240444314980838,2.46653757161713e-07,1.14193012393863e-06
"YMR261C",209.217905640536,-0.663336295323691,0.231310664733246,0.0030847770421935,0.00676040484388534
"YMR262W",30.5498932938944,-0.894145783286169,0.323016072324753,0.00324387092648218,0.00707964456152112
"YMR263W",28.9895516843846,1.92432260695686,0.363481508000434,1.41111520734495e-08,7.76648891632645e-08
"YMR264W",66.9547439588373,-0.368776012483051,0.245887994648553,0.120652126351405,0.174061921155061
"YMR265C",43.5442975454428,-0.374195224567917,0.285616660193055,0.17005589826252,0.23448877247941
"YMR266W",234.117047352068,0.723938837225663,0.192859913599729,0.000124240106663018,0.000366055781725733
"YMR267W",30.8123716203883,0.189172284707828,0.340574329320347,0.553418898980587,0.629560258824845
"YMR268C",22.4204311425732,0.377734662501845,0.36824255686126,0.268186758030008,0.34449764909922
"YMR269W",45.4835661382291,2.2083940630769,0.490867985675418,4.6660705873804e-07,2.08214426749182e-06
"YMR270C",41.6185347288989,0.144563701545441,0.32462934792175,0.636719935564493,0.705291645256754
"YMR271C",126.759929500286,-1.02871293429947,0.212364080276432,6.36940510035111e-07,2.75944129851657e-06
"YMR272C",360.294950121376,-0.759727136183621,0.202040513818519,0.000116709512999418,0.000346130820505943
"YMR273C",112.73173470207,0.19623944282185,0.262519493812301,0.437216351856322,0.518775221337395
"YMR274C",19.8919187263246,-0.563214790587453,0.37390567653374,0.102835058316688,0.151254100734053
"YMR275C",78.0718789344194,-0.788437757530955,0.23037844520409,0.000411971718480711,0.00108530787416285
"YMR276W",49.1826419156336,1.9798547519738,0.343359107125962,8.86372244543006e-10,5.76440066210087e-09
"YMR277W",74.2487832007116,0.142601715285334,0.252403430591262,0.558263508860491,0.634393207131704
"YMR278W",214.180579370456,-0.398557100112347,0.213717775243846,0.0556217665241731,0.0881589802204176
"YMR279C",49.0072475279258,-1.2045649975128,0.279251362712419,6.1540051095361e-06,2.30170107288323e-05
"YMR280C",394.613176237407,2.32148844064466,0.184227345078487,1.49296712499455e-37,1.17036517460721e-35
"YMR281W",59.1711900964164,-0.0103208734893399,0.288354545627527,0.9700961663115,0.978870735914595
"YMR282C",114.25166575921,-0.135712237908762,0.211604723902606,0.510812109022021,0.589930528456449
"YMR283C",43.3405974254902,-0.773341285821234,0.303762478918631,0.00720034187662246,0.014438017015654
"YMR284W",37.3216101187028,-0.28326097150539,0.312014732070111,0.337627190140662,0.41849900213803
"YMR285C",85.6393270331821,-0.191592113947601,0.231837709941381,0.394418934758802,0.475088089812253
"YMR286W",139.373964009551,1.59019017063873,0.354174193506889,1.44595909252681e-06,5.99571743798999e-06
"YMR287C",93.8041804635668,-0.489250668190286,0.218225871885157,0.0212134415630479,0.0379343941144392
