"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YOL114C",20.2990926277047,1.80490472499085,0.488037492485736,9.11814965228797e-06,4.71009671709016e-05
"YOL115W",95.0060579894549,0.777761777726309,0.24074355039647,0.000704179437198379,0.00228464480715201
"YOL116W",52.0231856709732,0.22353780725173,0.259102863377869,0.362367024990832,0.463423966484086
"YOL117W",56.503024389077,-1.08485919595343,0.346729823259027,0.000544858813014925,0.00183064456691604
"YOL118C",11.3102268382925,-0.376032542993479,0.453341376507138,0.325587395463658,0.42644671056326
"YOL119C",165.939536798202,-1.59955404865798,0.278982459852093,8.2735770262283e-10,9.28336950273702e-09
"YOL120C",348.068558528198,-0.670074739892126,0.231664412045442,0.00250722336937783,0.00693912345694694
"YOL121C",228.109175871493,0.198785534083391,0.213363931259973,0.333665935615381,0.434965414046029
"YOL122C",92.825594517927,-0.356046984939711,0.245542283275081,0.127730009698968,0.200190387017649
"YOL123W",364.231395651967,1.41719930100781,0.232658260682289,1.66948435644815e-10,2.0827266132808e-09
"YOL124C",20.498634272761,-0.414761682907459,0.342531865672119,0.182787282802216,0.267292419343498
"YOL125W",55.8064636418231,0.471866828722555,0.2687570941699,0.0625455934631882,0.110951002371841
"YOL126C",198.865303368031,-0.534103018834028,0.238409624299123,0.0189201932869432,0.0399403352465639
"YOL127W",718.304074868129,0.037812229567961,0.168920797851102,0.818803388346645,0.864085584100216
"YOL128C",185.258225457965,-0.471036004883394,0.266063285401012,0.060687456570925,0.108489348403062
"YOL129W",161.580753484133,-0.0773810377604387,0.274581288766166,0.764626610118971,0.823092232983731
"YOL130W",107.884535021493,-0.874834214835108,0.268421168431174,0.000543227996497693,0.00182788028287884
"YOL131W",8.64307433895219,0.0871934807551884,0.54241175605599,0.836126882229482,0.876784534311863
"YOL132W",30.9546256829712,-0.12726639140417,0.338801653951157,0.680254169834841,0.757809730096965
"YOL133W",39.2247525985503,-1.10667652062032,0.329287683841629,0.000234099626136523,0.000868294073668779
"YOL134C",20.4133369916399,0.574342448358691,0.392082486024785,0.0966291787576879,0.158326235048528
"YOL135C",20.281773722696,0.407750013565161,0.380449504230926,0.227745379943521,0.318810557203756
"YOL136C",170.708649566162,-1.63940950101311,0.291163329349263,1.32912203247816e-09,1.44339454846208e-08
"YOL137W",65.1523399891855,-1.66409658230631,0.287378285418608,4.81189629320855e-10,5.69669599936792e-09
"YOL138C",190.683427851492,0.154783700070393,0.218940838679621,0.462390631501563,0.562097245042029
"YOL139C",186.977265859851,-0.789840477152785,0.229448836120302,0.000325353971461064,0.00116074931638723
"YOL140W",104.348568320941,0.161496161494838,0.242164341809935,0.484422802247336,0.582653260592328
"YOL141W",22.7897780139084,-1.44972538402573,0.579452963229982,0.00124412351738649,0.00377466554621289
"YOL142W",61.7018478343135,-0.695064338898999,0.246344368065841,0.00302340851846317,0.00820336427296767
"YOL143C",107.524011759215,0.505608482007086,0.235781269643878,0.0248085655213903,0.050284587208101
"YOL144W",33.2609757562176,1.05209314506052,0.349591113087425,0.000866652270528878,0.00273528281900872
"YOL145C",169.907045141535,-0.0419621482849636,0.289049517634723,0.876625849054899,0.907579421291516
"YOL146W",20.1601585558719,0.0520089152917386,0.347878344134193,0.869059303848584,0.901701488396644
"YOL147C",89.8971335955807,-0.406849719230395,0.255714749747833,0.0933013187924756,0.15393656152308
"YOL148C",71.9959392104774,0.240023305947495,0.259117956551523,0.328057029907638,0.428906655509175
"YOL149W",46.0731294134881,-0.537061625265775,0.30564930484137,0.0579102808264479,0.104393268823563
"YOL150C",71.342815359314,0.561561174781707,0.258154579292255,0.0216054293653834,0.04465019442415
"YOL151W",363.268563498983,-0.115207235752269,0.287937892351499,0.668869276065514,0.748767014754158
"YOL152W",63.3679718379787,-0.402456135755388,0.310624200769571,0.161097055549146,0.242041963025277
