"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YNL183C",332.192826540687,-0.41085498252991,0.196133093596967,0.026747173909187,0.0663361931796468
"YNL185C",63.1631500139279,0.510362768130106,0.256028608091166,0.0292190310423559,0.0709203343417182
"YNL186W",294.234603865059,-0.528813456228704,0.195742241320379,0.00449812094857095,0.014809080376084
"YNL187W",12.9737775631795,-0.627505289796225,0.379812748456689,0.0439625532227986,0.0988092875805713
"YNL188W",40.6109801852288,0.564732567706764,0.339953519417606,0.0516232427006671,0.112243789695116
"YNL189W",163.638001672861,0.152894209821813,0.190891511711974,0.393127894021912,0.534083117850377
"YNL190W",291.746984571266,-0.376641140920766,0.243948418099713,0.0923868445263971,0.178943097081746
"YNL191W",95.3001030305637,-0.0987225833776019,0.218758855186896,0.626591017467724,0.733277081365799
"YNL192W",213.521999743932,0.269264339850851,0.197946825654931,0.146592264330099,0.256359902609825
"YNL193W",121.587424083353,0.123198134676659,0.193080503297374,0.496146184827788,0.628004367921885
"YNL194C",113.811440402603,-0.792913579738821,0.243670888242847,0.000437998698469327,0.0020181337965215
"YNL195C",248.822157322302,-1.89043170191308,0.268553875248985,5.57507907843652e-15,1.91367063514854e-13
"YNL196C",12.1759254275273,0.184609448285171,0.439400507073111,0.577117720551555,0.694123576136013
"YNL197C",108.946068358842,-0.143815679178047,0.245951500411315,0.522203113784524,0.650902506030087
"YNL199C",97.8115362708267,-0.413020618814224,0.247802180654258,0.068911073146551,0.141276268494129
"YNL200C",374.929906915661,-1.28120693326914,0.196451772941742,4.71759655506497e-12,1.15471635510261e-10
"YNL201C",96.980523788212,-0.626807540109381,0.21876109013981,0.0023031954648509,0.00833041863838158
"YNL202W",14.8692021510781,-0.626495869737532,0.409294043740495,0.0535955573137798,0.115751239008651
"YNL204C",10.8999213596484,-0.862839502885113,0.478031196807813,0.0140809971512411,0.0392522174312108
"YNL206C",64.091046734692,-0.107958359710022,0.230585722818532,0.611550764915573,0.720618725832874
"YNL207W",43.5655819241446,0.0397601151263612,0.265118686508691,0.868157191613053,0.917008854612431
"YNL208W",884.423016202075,0.95009388350375,0.17644568448917,1.99249917449254e-08,2.54032696950136e-07
"YNL209W",1099.87903079038,0.275741012004821,0.290549416359313,0.284572371476991,0.421148200427914
"YNL211C",10.6231892225999,1.95698700389478,0.717825736577084,2.69169294636954e-05,0.000180306129121128
"YNL212W",239.266549700175,0.414622785730715,0.197082236653216,0.0260508385775945,0.0647753598751074
"YNL213C",105.537663509994,0.410331970962531,0.31676241290716,0.136311462229318,0.241889110858432
"YNL214W",26.8540009826604,-0.468676485647359,0.302032635382397,0.0783378448966212,0.156594706493901
"YNL215W",87.1524285758887,-0.405204806126566,0.290513432516964,0.116448394812882,0.214439692807731
"YNL216W",78.2141458162176,-0.0520603381755302,0.222790044019937,0.800818484219057,0.868889351930781
"YNL217W",317.995780749221,1.44352980175858,0.241658907299759,6.13180583011585e-11,1.2350904729341e-09
"YNL218W",49.9933744365204,-0.129131422781117,0.261527064568828,0.585391288705143,0.701767899520259
"YNL219C",124.203153779858,0.260048604037691,0.255085760481978,0.261893417317341,0.396520091772547
"YNL220W",312.209568581592,0.602146816602701,0.181820343128107,0.000555650755586723,0.00247377592721303
"YNL221C",84.9436227140398,-0.0137056137794301,0.224618454284097,0.947437867468313,0.967685544623706
"YNL222W",21.8391966548646,0.330205956899498,0.353178095935182,0.265460960189809,0.399906893000712
